"abn","charity_legal_name","charity_size","ais_year","endorsement_fy","event_year","is_startup","donations_and_bequests","total_gross_income","donation_share"
"63167495105","LIGHT HOUSE YOUTH PROJECTS INCORPORATED","Medium",2019,2020,-1,FALSE,0,395470,0
"63175468453","Rural Australians for Refugees  (Bendigo) Inc","Small",2019,2023,-4,FALSE,1258,57766,0.0217775161859918
"63638021939","The Uniform Project - Turkana Inc","Small",2019,2020,-1,FALSE,4565,5070,0.900394477317554
"63744700911","Alpha-1 Association Of Australia","Small",2019,2021,-2,FALSE,1330,11215,0.118591172536781
"63773789161","West cumberland mens shed incorporated","Small",2019,2021,-2,FALSE,20,22487,0.000889402766042602
"64008498637","United World Colleges (Australia) Trust Limited","Small",2019,2021,-2,FALSE,57234,57650,0.992784041630529
"64214940427","Brain Injury Matters Incorporated","Small",2019,2020,-1,FALSE,1000,56083,0.0178307151899863
"64282712328","Kempsey Neighbourhood Centre Inc","Medium",2019,2023,-4,FALSE,18063,1361487,0.0132671116213376
"64612999229","Proud 2 Play inc.","Small",2019,2022,-3,FALSE,165,173686,0.000949990212222056
"64618388159","AbilityLiving-MyWay","Medium",2019,2020,-1,FALSE,0,1260767,0
"64704364097","Turbans 4 Australia Inc","Medium",2019,2023,-4,FALSE,38073,38073,1
"64924935699","Mittagong Pre School Kindergarten Inc","Medium",2019,2020,-1,FALSE,320,791335,0.00040437994022759
"65064790343","St. John's Greek Orthodox College","Large",2019,2022,-3,FALSE,35817,5007661,0.00715244102985406
"65129595651","Construction Charitable Works Limited","Medium",2019,2021,-2,FALSE,243159,287567,0.845573379421144
"65601662382","Hejaz Foundation Limited","Small",2019,2023,-4,FALSE,8935,8935,1
"65619212663","Dr Steve Burroughs Foundation Limited","Small",2019,2022,-3,FALSE,34299,34306,0.999795954060514
"65625405923","Better Renting Limited","Small",2019,2022,-3,FALSE,75083,124848,0.601395296680764
"65663312659","South East Local Learning And Employment Network Inc","Large",2019,2020,-1,FALSE,0,1798604,0
"65945589522","All Souls And St Gabriels Foundation Incorporated","Small",2019,2023,-4,FALSE,40000,197639,0.202389204559829
"66127417263","Normanville Surf Life Saving Club Inc","Small",2019,2021,-2,FALSE,31766,281049,0.113026554088433
"66165269670","Amitofo Care Centre Australia","Small",2019,2020,-1,FALSE,192528,193025,0.997425203989121
"66626788252","Neighbourhood Watch Australasia Limited","Small",2019,2020,-1,FALSE,0,257546,0
"66631479377","ALTIOREM LTD","Small",2019,2020,-1,FALSE,155097,155116,0.999877511024008
